submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s271077732,p00000,u051394180,1558935876,Python,Python,py,Accepted,10,4608,101,1/1
s644089858,p00000,u051394180,1558936053,Python,Python,py,Wrong Answer,10,4612,135,0/1
s308000995,p00000,u051394180,1558936063,Python,Python,py,Wrong Answer,10,4612,135,0/1
s805343334,p00000,u051394180,1558936080,Python,Python,py,Accepted,10,4612,135,1/1
s260303665,p00000,u889593139,1559202135,Python,Python3,py,Runtime Error,0,0,11,0/1
s308295468,p00000,u213571602,1559203274,Python,Python3,py,WA: Presentation Error,20,5568,117,0/1
s946329199,p00000,u213571602,1559203518,Python,Python3,py,Accepted,20,5540,118,1/1
s275316062,p00000,u435158342,1559392899,Python,Python3,py,Accepted,20,5528,143,1/1
s640389333,p00000,u247705495,1559441859,Python,Python3,py,Accepted,20,5520,97,1/1
s314048467,p00000,u132187835,1559478368,Python,Python3,py,Accepted,30,5524,95,1/1
s448576308,p00000,u858885710,1405406464,Python,Python,py,Accepted,20,4184,78,1/1
s194325068,p00000,u063179562,1406633490,Python,Python3,py,Accepted,30,6720,93,1/1
s404659116,p00000,u490032117,1406785291,Python,Python,py,Wrong Answer,20,4184,79,0/1
s102716873,p00000,u490032117,1406785396,Python,Python,py,Accepted,10,4180,81,1/1
s261371474,p00000,u696166817,1409237146,Python,Python3,py,Wrong Answer,30,6720,103,0/1
s705056417,p00000,u696166817,1409237256,Python,Python3,py,Accepted,30,6720,103,1/1
s615304074,p00000,u450407555,1409270143,Python,Python,py,Accepted,10,4180,78,1/1
s874268009,p00000,u579833671,1410763113,Python,Python,py,Accepted,10,4184,91,1/1
s919959440,p00000,u558004042,1410772639,Python,Python3,py,Wrong Answer,30,6728,134,0/1
s952169469,p00000,u558004042,1410772693,Python,Python3,py,Accepted,30,6720,133,1/1
s806981013,p00000,u615353970,1411039148,Python,Python,py,Accepted,20,4184,75,1/1
s916661476,p00000,u855866586,1411305332,Python,Python,py,Accepted,10,4184,92,1/1
s956753492,p00000,u585391547,1411320030,Python,Python3,py,Accepted,30,6720,110,1/1
s711065464,p00000,u512033536,1414479359,Python,Python3,py,Runtime Error,0,0,58,0/1
s453343408,p00000,u512033536,1414480186,Python,Python3,py,Runtime Error,0,0,90,0/1
s883099133,p00000,u512033536,1414480423,Python,Python3,py,Accepted,30,6724,105,1/1
s287637705,p00000,u125577958,1414658810,Python,Python3,py,Accepted,30,6724,87,1/1
s096641350,p00000,u111842551,1415077157,Python,Python,py,WA: Presentation Error,20,4184,77,0/1
s158311596,p00000,u111842551,1415077259,Python,Python,py,Accepted,20,4184,84,1/1
s555968168,p00000,u686067953,1415935156,Python,Python,py,Runtime Error,0,0,101,0/1
s473636293,p00000,u686067953,1415935212,Python,Python,py,Accepted,20,4184,103,1/1
s212303650,p00000,u607831289,1415988970,Python,Python,py,Accepted,10,4184,90,1/1
s487192213,p00000,u506132575,1416064154,Python,Python,py,Accepted,10,4208,118,1/1
s868833076,p00000,u439242327,1416102650,Python,Python,py,Accepted,10,4188,94,1/1
s587494870,p00000,u662697164,1416196820,Python,Python3,py,Accepted,30,6720,86,1/1
s834953666,p00000,u310737167,1416675807,Python,Python3,py,Accepted,30,6720,93,1/1
s511255650,p00000,u379499530,1417621426,Python,Python,py,Accepted,10,4184,100,1/1
s496090697,p00000,u145643522,1417907755,Python,Python,py,Runtime Error,0,0,112,0/1
s393993684,p00000,u145643522,1417907766,Python,Python3,py,Runtime Error,0,0,112,0/1
s303003139,p00000,u578674365,1418356817,Python,Python,py,Runtime Error,0,0,85,0/1
s898266054,p00000,u578674365,1418357011,Python,Python,py,Wrong Answer,10,4188,93,0/1
s061434217,p00000,u578674365,1418357095,Python,Python,py,Accepted,10,4188,94,1/1
s382589577,p00000,u090799640,1418567312,Python,Python,py,Runtime Error,0,0,93,0/1
s458844379,p00000,u090799640,1418567567,Python,Python,py,Accepted,20,4188,90,1/1
s304076367,p00000,u846356981,1418779496,Python,Python3,py,Runtime Error,0,0,97,0/1
s510769266,p00000,u846356981,1418779538,Python,Python3,py,Accepted,30,6724,132,1/1
s412938999,p00000,u334031393,1418892851,Python,Python3,py,Accepted,30,6720,100,1/1
s421714857,p00000,u672822075,1418957435,Python,Python3,py,Wrong Answer,30,6720,82,0/1
s836721484,p00000,u672822075,1418957543,Python,Python3,py,Accepted,30,6720,84,1/1
s742262012,p00000,u422939201,1419254784,Python,Python,py,Accepted,10,4188,84,1/1
s208428966,p00000,u422939201,1419255036,Python,Python,py,Accepted,20,4188,86,1/1
s873021380,p00000,u631118941,1419325044,Python,Python,py,Accepted,20,4184,100,1/1
s414588444,p00000,u342537066,1420698774,Python,Python3,py,Accepted,30,6724,107,1/1
s720601746,p00000,u989992553,1420877363,Python,Python,py,Runtime Error,0,0,68,0/1
s041089681,p00000,u989992553,1420877483,Python,Python,py,Accepted,10,4180,90,1/1
s415822298,p00000,u586434734,1421030580,Python,Python,py,Wrong Answer,20,4200,418,0/1
s972745601,p00000,u965894812,1421078567,Python,Python,py,Accepted,10,4188,75,1/1
s711543986,p00000,u567380442,1422525569,Python,Python3,py,Accepted,30,6716,110,1/1
s373449526,p00000,u241133982,1422945298,Python,Python,py,Accepted,20,4184,80,1/1
s742513121,p00000,u879226672,1422983786,Python,Python,py,Accepted,10,4200,209,1/1
s615197826,p00000,u442472098,1423218633,Python,Python,py,Accepted,10,4184,121,1/1
s878473559,p00000,u744114948,1423628120,Python,Python3,py,Accepted,30,6720,92,1/1
s031295179,p00000,u349293999,1423827644,Python,Python,py,Accepted,10,4188,102,1/1
s845379079,p00000,u145643522,1424077103,Python,Python,py,Runtime Error,0,0,1,0/1
s545132824,p00000,u145643522,1424077159,Python,Python3,py,Runtime Error,0,0,1,0/1
s458568973,p00000,u392445270,1424412318,Python,Python,py,Accepted,20,4184,82,1/1
s415201094,p00000,u492556875,1424709068,Python,Python3,py,Wrong Answer,50,6724,93,0/1
s639228207,p00000,u492556875,1424709219,Python,Python3,py,Accepted,30,6720,91,1/1
s121003327,p00000,u540744789,1425534063,Python,Python,py,Accepted,10,4180,100,1/1
s187530433,p00000,u040533857,1425964465,Python,Python3,py,WA: Presentation Error,30,6720,82,0/1
s603884486,p00000,u040533857,1425964571,Python,Python3,py,WA: Presentation Error,30,6720,82,0/1
s555585308,p00000,u040533857,1425964700,Python,Python3,py,WA: Presentation Error,30,6720,82,0/1
s485423169,p00000,u040533857,1425964745,Python,Python3,py,WA: Presentation Error,30,6716,78,0/1
s861475705,p00000,u040533857,1425964960,Python,Python3,py,Accepted,30,6724,89,1/1
s636735132,p00000,u355726239,1426514227,Python,Python3,py,Accepted,30,6724,150,1/1
s597114747,p00000,u888595898,1427206688,Python,Python,py,WA: Presentation Error,20,4184,79,0/1
s040543738,p00000,u888595898,1427206728,Python,Python3,py,Runtime Error,0,0,79,0/1
s667210454,p00000,u888595898,1427206885,Python,Python,py,WA: Presentation Error,10,4188,85,0/1
s479114524,p00000,u888595898,1427207002,Python,Python,py,Accepted,10,4188,100,1/1
s135986880,p00000,u210684432,1428121332,Python,Python3,py,Accepted,30,6720,96,1/1
s980955845,p00000,u879226672,1428507154,Python,Python3,py,Runtime Error,0,0,85,0/1
s455127107,p00000,u879226672,1428507227,Python,Python,py,Accepted,20,4184,84,1/1
s390682591,p00000,u145563629,1428817268,Python,Python,py,Runtime Error,0,0,179,0/1
s081308579,p00000,u528773839,1428842702,Python,Python,py,WA: Presentation Error,10,4184,100,0/1
s495194417,p00000,u528773839,1428842763,Python,Python,py,WA: Presentation Error,20,4184,93,0/1
s660242954,p00000,u542962065,1428922013,Python,Python3,py,Runtime Error,0,0,81,0/1
s433331622,p00000,u542962065,1428922038,Python,Python,py,Wrong Answer,10,4188,81,0/1
s791581945,p00000,u542962065,1428922093,Python,Python,py,Accepted,10,4188,89,1/1
s015398004,p00000,u691654201,1429321861,Python,Python,py,Runtime Error,0,0,96,0/1
s846632628,p00000,u691654201,1429321930,Python,Python,py,Wrong Answer,20,4184,98,0/1
s037510502,p00000,u691654201,1429322059,Python,Python,py,Runtime Error,0,0,98,0/1
s601239062,p00000,u691654201,1429322085,Python,Python,py,Accepted,10,4184,101,1/1
s932586667,p00000,u071744613,1430053689,Python,Python,py,Accepted,10,4184,90,1/1
s763304502,p00000,u886766186,1430230227,Python,Python,py,Accepted,10,4184,94,1/1
s055075818,p00000,u682755774,1430409738,Python,Python,py,Wrong Answer,10,4188,106,0/1
s584986879,p00000,u682755774,1430409929,Python,Python,py,Accepted,10,4184,108,1/1
s652001321,p00000,u009961299,1430540902,Python,Python3,py,Accepted,30,6728,130,1/1
s492642124,p00000,u308369184,1430554023,Python,Python3,py,Runtime Error,0,0,84,0/1
s949814723,p00000,u308369184,1430554498,Python,Python3,py,WA: Presentation Error,30,6724,82,0/1
s545018062,p00000,u308369184,1430554537,Python,Python3,py,Wrong Answer,30,6728,83,0/1
s965874605,p00000,u308369184,1430554657,Python,Python3,py,Accepted,30,6720,80,1/1
s078388503,p00000,u145563629,1430700235,Python,Python,py,Runtime Error,0,0,59,0/1
s930521584,p00000,u145563629,1430700375,Python,Python,py,Runtime Error,20,7520,59,0/1
s930559875,p00000,u145563629,1430707598,Python,Python,py,Wrong Answer,10,4184,52,0/1
s234427606,p00000,u145563629,1430707709,Python,Python,py,Wrong Answer,10,4180,99,0/1
s551631452,p00000,u145563629,1430707805,Python,Python,py,Wrong Answer,20,4180,103,0/1
s985039819,p00000,u145563629,1430707886,Python,Python,py,Wrong Answer,70,4184,103,0/1
s986169855,p00000,u145563629,1430707944,Python,Python,py,Wrong Answer,90,7464,118,0/1
s039622055,p00000,u145563629,1430707951,Python,Python,py,Wrong Answer,90,6704,117,0/1
s497412619,p00000,u145563629,1430708020,Python,Python,py,Runtime Error,0,0,125,0/1
s759020778,p00000,u145563629,1430708064,Python,Python,py,Wrong Answer,40,7472,165,0/1
s060436224,p00000,u145563629,1430708083,Python,Python,py,Wrong Answer,40,7468,166,0/1
s374096642,p00000,u145563629,1430708197,Python,Python,py,Wrong Answer,40,7704,173,0/1
s541237926,p00000,u145563629,1430708372,Python,Python,py,Wrong Answer,40,7476,179,0/1
s210619672,p00000,u145563629,1430708402,Python,Python,py,Wrong Answer,40,7548,180,0/1
s987125612,p00000,u577850777,1431241430,Python,Python,py,Accepted,10,4188,129,1/1
s373471576,p00000,u520870854,1431700741,Python,Python,py,Runtime Error,0,0,83,0/1
s987464517,p00000,u520870854,1431700818,Python,Python,py,Runtime Error,0,0,84,0/1
s092519859,p00000,u520870854,1431700854,Python,Python,py,Runtime Error,0,0,86,0/1
s202012430,p00000,u520870854,1431701177,Python,Python,py,Runtime Error,0,0,99,0/1
s967480338,p00000,u520870854,1431701371,Python,Python,py,Accepted,10,4184,103,1/1
s289047040,p00000,u836030809,1431785383,Python,Python,py,Accepted,20,4184,80,1/1
s120158798,p00000,u304186356,1431792847,Python,Python,py,WA: Presentation Error,20,4192,119,0/1
s703551669,p00000,u304186356,1431792864,Python,Python3,py,Runtime Error,0,0,119,0/1
s319158556,p00000,u304186356,1431793031,Python,Python,py,Accepted,10,4208,75,1/1
s395149338,p00000,u304186356,1431793290,Python,Python,py,Runtime Error,0,0,65,0/1
s421906588,p00000,u304186356,1431793423,Python,Python,py,Time Limit Exceeded,19930,4176,89,0/1
s554165428,p00000,u067299340,1431940024,Python,Python,py,Accepted,20,4184,120,1/1
s000181193,p00000,u067299340,1431940152,Python,Python,py,Accepted,10,4188,106,1/1
s347433799,p00000,u631023380,1432375785,Python,Python,py,Accepted,10,4188,95,1/1
s707120312,p00000,u442472098,1432645499,Python,Python3,py,Runtime Error,0,0,140,0/1
s109361749,p00000,u442472098,1432645615,Python,Python3,py,Runtime Error,0,0,141,0/1
s723221240,p00000,u104911888,1433145288,Python,Python3,py,Accepted,30,6724,84,1/1
s704102467,p00000,u024599888,1433396321,Python,Python3,py,Accepted,30,6720,111,1/1
s730568129,p00000,u940190657,1433565497,Python,Python3,py,Accepted,30,6720,109,1/1
s622241849,p00000,u873482706,1434184345,Python,Python,py,Accepted,10,4192,284,1/1
s992358171,p00000,u538041865,1434547641,Python,Python3,py,Wrong Answer,30,6720,100,0/1
s561671944,p00000,u538041865,1434547765,Python,Python3,py,Accepted,30,6724,100,1/1
s973505330,p00000,u492083164,1434788868,Python,Python3,py,Accepted,30,6720,84,1/1
s373610772,p00000,u622015302,1434815716,Python,Python,py,Wrong Answer,10,4204,81,0/1
s270290916,p00000,u622015302,1434815779,Python,Python,py,Accepted,10,4208,80,1/1
s984936934,p00000,u568387576,1434963592,Python,Python3,py,Runtime Error,0,0,121,0/1
s770923745,p00000,u568387576,1434963706,Python,Python,py,Wrong Answer,10,4184,127,0/1
s719377808,p00000,u568387576,1434963774,Python,Python,py,Accepted,20,4184,127,1/1
s658531133,p00000,u571345655,1435349158,Python,Python,py,Accepted,10,4200,205,1/1
s903028007,p00000,u736039489,1436313545,Python,Python,py,Accepted,20,4188,95,1/1
s720289893,p00000,u749493116,1436347638,Python,Python,py,Wrong Answer,10,4180,142,0/1
s057405958,p00000,u749493116,1436347668,Python,Python,py,Accepted,20,4180,148,1/1
s106126321,p00000,u925992597,1436768560,Python,Python3,py,Accepted,30,6724,74,1/1
s029318009,p00000,u282013925,1436779924,Python,Python,py,Accepted,10,4180,83,1/1
s561617352,p00000,u282013925,1436780216,Python,Python,py,Accepted,10,4184,89,1/1
s305924920,p00000,u472944603,1436952701,Python,Python,py,Accepted,10,4184,103,1/1
s304158342,p00000,u390422052,1437206298,Python,Python,py,Runtime Error,0,0,74,0/1
s292798201,p00000,u777299405,1437560281,Python,Python3,py,Accepted,30,6724,98,1/1
s002628871,p00000,u528991554,1438499772,Python,Python,py,Wrong Answer,10,4180,86,0/1
s285531893,p00000,u528991554,1438499841,Python,Python,py,Wrong Answer,20,4188,87,0/1
s409259500,p00000,u528991554,1438499881,Python,Python,py,Accepted,10,4184,87,1/1
s410815267,p00000,u814658648,1439439109,Python,Python,py,Accepted,20,4180,84,1/1
s556040558,p00000,u722431421,1439449074,Python,Python,py,Accepted,10,4180,166,1/1
s938895593,p00000,u814658648,1439907822,Python,Python3,py,Accepted,20,7332,85,1/1
s257150209,p00000,u937228603,1441550361,Python,Python,py,Accepted,10,6380,98,1/1
s109194812,p00000,u166457060,1441550361,Python,Python,py,Wrong Answer,10,6428,56,0/1
s747275288,p00000,u166457060,1441550540,Python,Python,py,Accepted,10,6280,85,1/1
s458665060,p00000,u651428295,1441868871,Python,Python3,py,Accepted,20,7356,97,1/1
s841280726,p00000,u490032117,1442404964,Python,Python,py,Accepted,10,6232,88,1/1
s149905277,p00000,u490032117,1442405266,Python,Python,py,Accepted,10,6228,88,1/1
s177135266,p00000,u490032117,1442405944,Python,Python,py,Accepted,10,6280,88,1/1
s314994405,p00000,u490032117,1442406346,Python,Python,py,Accepted,10,6228,88,1/1
s593329356,p00000,u490032117,1442407518,Python,Python,py,Accepted,10,6228,88,1/1
s779986681,p00000,u490032117,1442451171,Python,Python,py,Accepted,10,6236,88,1/1
s411832804,p00000,u490032117,1442451185,Python,Python,py,Accepted,10,6232,88,1/1
s178120967,p00000,u490032117,1442451193,Python,Python,py,Accepted,10,6312,88,1/1
s447296199,p00000,u490032117,1442451202,Python,Python,py,Accepted,10,6308,88,1/1
s022860713,p00000,u490032117,1442451982,Python,Python,py,Accepted,10,6284,88,1/1
s465378892,p00000,u490032117,1442452009,Python,Python,py,Accepted,10,6236,88,1/1
s462681962,p00000,u985809245,1442579808,Python,Python3,py,Accepted,20,7316,94,1/1
s574341014,p00000,u305077559,1443233791,Python,Python3,py,Wrong Answer,40,7296,119,0/1
s617309577,p00000,u305077559,1443233862,Python,Python3,py,Wrong Answer,20,7420,80,0/1
s732928645,p00000,u305077559,1443234027,Python,Python3,py,Accepted,40,7332,94,1/1
s593953783,p00000,u126202702,1443316781,Python,Python,py,Accepted,10,6312,109,1/1
s860364424,p00000,u948218832,1443940224,Python,Python,py,Accepted,10,6192,78,1/1
s646332872,p00000,u071010747,1445157790,Python,Python3,py,Wrong Answer,30,7468,184,0/1
s869824413,p00000,u071010747,1445158125,Python,Python3,py,Accepted,50,7460,198,1/1
s334178035,p00000,u802625365,1445867608,Python,Python,py,WA: Presentation Error,10,6228,92,0/1
s148421413,p00000,u802625365,1445867650,Python,Python,py,Accepted,10,6412,88,1/1
s995291070,p00000,u682755774,1445944866,Python,Python,py,Accepted,10,6336,107,1/1
s885113939,p00000,u342537066,1446026407,Python,Python3,py,Accepted,20,7320,109,1/1
s526953159,p00000,u454022848,1446034435,Python,Python,py,Wrong Answer,10,6220,151,0/1
s881165581,p00000,u454022848,1446034474,Python,Python,py,Accepted,10,6268,155,1/1
s091132974,p00000,u290226505,1446117306,Python,Python3,py,Accepted,50,7300,181,1/1
s185210375,p00000,u290226505,1446189217,Python,Python,py,Accepted,10,6312,88,1/1
s403567121,p00000,u452212317,1446271305,Python,Python,py,Accepted,10,6312,83,1/1
s321438688,p00000,u642047787,1446384739,Python,Python,py,Accepted,10,6312,91,1/1
s782377534,p00000,u695952004,1446744868,Python,Python3,py,Accepted,30,7340,84,1/1
s508848116,p00000,u452212317,1447061218,Python,Python,py,Accepted,10,6208,92,1/1
s265329425,p00000,u362869314,1447175637,Python,Python3,py,Accepted,20,7340,89,1/1
s769465178,p00000,u300946041,1447339869,Python,Python,py,Accepted,10,6412,95,1/1
s405579756,p00000,u011621222,1447453636,Python,Python,py,Accepted,10,6312,90,1/1
s853364488,p00000,u488601719,1447563049,Python,Python3,py,Wrong Answer,30,7392,99,0/1
s037706095,p00000,u488601719,1447563096,Python,Python3,py,Accepted,20,7392,101,1/1
s755729581,p00000,u313846744,1447757939,Python,Python,py,WA: Presentation Error,10,6320,68,0/1
s173513995,p00000,u313846744,1447758096,Python,Python,py,WA: Presentation Error,10,6320,68,0/1
s253419909,p00000,u313846744,1447758315,Python,Python,py,Accepted,10,6376,92,1/1
s174671778,p00000,u716062922,1447866948,Python,Python,py,Accepted,10,6420,83,1/1
s291569605,p00000,u775586391,1447920015,Python,Python3,py,Runtime Error,0,0,101,0/1
s083640017,p00000,u775586391,1447920258,Python,Python3,py,Accepted,30,7416,103,1/1
s520680284,p00000,u931771876,1448281439,Python,Python,py,Accepted,10,6284,120,1/1
s816214141,p00000,u372785464,1448295892,Python,Python,py,Accepted,10,6244,101,1/1
s097277748,p00000,u982618289,1448863734,Python,Python3,py,WA: Presentation Error,30,7348,147,0/1
s443368554,p00000,u982618289,1448863772,Python,Python3,py,WA: Presentation Error,20,7356,122,0/1
s371482423,p00000,u982618289,1448864023,Python,Python3,py,Accepted,50,7364,143,1/1
s965814599,p00000,u282982700,1448948024,Python,Python,py,Accepted,10,6256,118,1/1
s088909893,p00000,u468759892,1449228789,Python,Python3,py,Accepted,20,7440,83,1/1
s854756726,p00000,u461370825,1449733587,Python,Python,py,Accepted,10,6320,79,1/1
s960044759,p00000,u825618558,1450026564,Python,Python3,py,Accepted,20,7400,87,1/1
s453243222,p00000,u560214129,1450415053,Python,Python3,py,Wrong Answer,30,7348,78,0/1
s067119473,p00000,u560214129,1450415558,Python,Python3,py,Wrong Answer,20,7408,87,0/1
s841676444,p00000,u560214129,1450415601,Python,Python,py,Wrong Answer,10,6216,87,0/1
s059953284,p00000,u560214129,1450415700,Python,Python3,py,Accepted,20,7348,87,1/1
s915534371,p00000,u512342660,1450971300,Python,Python,py,Accepted,10,6360,84,1/1
s064168985,p00000,u523886269,1451322637,Python,Python,py,Accepted,10,6216,92,1/1
s393287917,p00000,u529386725,1452166903,Python,Python,py,Accepted,10,6360,104,1/1
s593117673,p00000,u088437533,1452472339,Python,Python3,py,Accepted,30,7356,93,1/1
s879669438,p00000,u797673668,1452678596,Python,Python3,py,Accepted,20,7476,95,1/1
s179214938,p00000,u302511098,1452786699,Python,Python,py,Wrong Answer,10,6220,86,0/1
s856348135,p00000,u302511098,1452786899,Python,Python,py,Accepted,10,6248,144,1/1
s921792839,p00000,u504448725,1452960925,Python,Python3,py,Accepted,20,7340,103,1/1
s907840107,p00000,u372789658,1453393067,Python,Python3,py,Accepted,20,7336,156,1/1
s267185099,p00000,u790959181,1453903605,Python,Python,py,Runtime Error,0,0,82,0/1
s650887624,p00000,u790959181,1453903640,Python,Python3,py,Runtime Error,0,0,82,0/1
s307280325,p00000,u790959181,1453903665,Python,Python3,py,Runtime Error,0,0,82,0/1
s301654396,p00000,u790959181,1453903862,Python,Python,py,Runtime Error,0,0,97,0/1
s376191018,p00000,u790959181,1453904013,Python,Python,py,Accepted,10,6304,96,1/1
s209110862,p00000,u140988014,1453993613,Python,Python3,py,WA: Presentation Error,30,7352,76,0/1
s120074154,p00000,u140988014,1453993627,Python,Python3,py,WA: Presentation Error,20,7292,76,0/1
s554106233,p00000,u280308796,1454261044,Python,Python3,py,Accepted,30,7408,102,1/1
s029715670,p00000,u287842774,1454599341,Python,Python3,py,Wrong Answer,20,7400,91,0/1
s839165878,p00000,u287842774,1454599548,Python,Python3,py,Wrong Answer,20,7344,94,0/1
s735089389,p00000,u287842774,1454599599,Python,Python3,py,Accepted,20,7340,96,1/1
s993100800,p00000,u650459696,1454766730,Python,Python3,py,Wrong Answer,30,7488,102,0/1
s352878131,p00000,u650459696,1454766780,Python,Python3,py,Accepted,20,7356,102,1/1
s795126731,p00000,u386731818,1454916616,Python,Python3,py,Wrong Answer,30,7484,116,0/1
s876161723,p00000,u386731818,1454916695,Python,Python3,py,Wrong Answer,20,7408,116,0/1
s963196171,p00000,u386731818,1454916794,Python,Python3,py,Accepted,20,7336,116,1/1
s939495174,p00000,u835717746,1455943154,Python,Python3,py,Accepted,20,7364,87,1/1
s123005223,p00000,u529340193,1456301795,Python,Python,py,Accepted,10,6200,92,1/1
s733204610,p00000,u397460030,1456403692,Python,Python3,py,Runtime Error,0,0,56,0/1
s884329874,p00000,u397460030,1456403822,Python,Python3,py,Runtime Error,0,0,56,0/1
s998318845,p00000,u397460030,1456403837,Python,Python,py,Runtime Error,0,0,56,0/1
s907354165,p00000,u397460030,1456404150,Python,Python3,py,Wrong Answer,30,7312,90,0/1
s790167265,p00000,u397460030,1456404180,Python,Python3,py,Wrong Answer,20,7196,55,0/1
s324441535,p00000,u397460030,1456404604,Python,Python3,py,Wrong Answer,30,7456,125,0/1
s216412911,p00000,u397460030,1456404747,Python,Python3,py,Wrong Answer,30,7456,125,0/1
s138113673,p00000,u397460030,1456404756,Python,Python3,py,Wrong Answer,20,7280,118,0/1
s599433051,p00000,u397460030,1456404803,Python,Python3,py,Wrong Answer,20,7456,125,0/1
s218041956,p00000,u397460030,1456405022,Python,Python3,py,Accepted,20,7468,131,1/1
s778849626,p00000,u867824281,1456505542,Python,Python3,py,Accepted,50,7336,87,1/1
s404286466,p00000,u000228958,1456745760,Python,Python,py,Wrong Answer,10,6340,115,0/1
s665576128,p00000,u000228958,1456745842,Python,Python,py,Wrong Answer,10,6308,115,0/1
s176016669,p00000,u000228958,1456745893,Python,Python,py,Accepted,10,6368,114,1/1
s262112803,p00000,u894114233,1456844573,Python,Python,py,Accepted,10,6344,95,1/1
s426963692,p00000,u106298487,1457064370,Python,Python,py,Wrong Answer,10,6428,182,0/1
s987777231,p00000,u106298487,1457064635,Python,Python,py,Accepted,10,6256,181,1/1
s245822920,p00000,u407287506,1457088922,Python,Python,py,Wrong Answer,10,6304,145,0/1
s227417738,p00000,u407287506,1457089382,Python,Python,py,Wrong Answer,10,6216,114,0/1
s706318413,p00000,u407287506,1457089408,Python,Python,py,Accepted,10,6216,115,1/1
s638873664,p00000,u648595404,1457500887,Python,Python3,py,Accepted,20,7348,83,1/1
s364245712,p00000,u867824281,1457774979,Python,Python3,py,WA: Presentation Error,20,7352,78,0/1
s020852510,p00000,u867824281,1457775293,Python,Python3,py,Accepted,20,7332,170,1/1
s920433667,p00000,u756595712,1457846899,Python,Python3,py,WA: Presentation Error,30,7480,113,0/1
s506375527,p00000,u756595712,1457846976,Python,Python3,py,WA: Presentation Error,30,7316,113,0/1
s889474106,p00000,u756595712,1457847179,Python,Python3,py,WA: Presentation Error,20,7312,115,0/1
s898365578,p00000,u756595712,1457847207,Python,Python3,py,Accepted,30,7276,109,1/1
s825751726,p00000,u811773570,1457956700,Python,Python,py,WA: Presentation Error,10,6308,120,0/1
s598075837,p00000,u811773570,1457956757,Python,Python,py,Accepted,10,6348,116,1/1
s467318245,p00000,u148101999,1457959367,Python,Python,py,Wrong Answer,10,6216,165,0/1
s583107494,p00000,u148101999,1457959478,Python,Python,py,Accepted,10,6384,164,1/1
